Barcode	Position	gener	Logica	Bio	chimica	Mate	Score	Ateneo
556644531259843	9016	1.1	4.1	10.3	0.3	8.9	24.7	Marche
455535431258845	9017	3	6	13.1	0	2.6	24.7	catania
644643433348843	9018	1.1	0.7	13.7	6.3	2.9	24.7	esteri
456554553259855	9019	1.5	2.2	15.2	4	1.8	24.7	esteri
556445552239855	9020	-0.4	0.7	17.1	5.9	1.4	24.7	esteri
654543442139955	9021	-0.8	1.1	17.5	3.6	3.3	24.7	esteri
446455452158943	9022	0	0.7	17.8	2.1	4.1	24.7	esteri
555454333149845	9023	-0.8	4.5	17.9	1	2.1	24.7	federico
644634551148753	9024	1.1	3	18.2	1	1.4	24.7	catania
645455441348844	9025	0	3	18.2	-1.7	5.2	24.7	esteri
566545353259855	9026	1.5	2.2	18.2	0.3	2.5	24.7	torino
446645552348753	9027	4.1	1.5	19.3	-0.5	0.3	24.7	cagliari
644434442139845	9028	0.7	0.7	19.4	1.4	2.5	24.7	esteri
654434542138943	9029	2.6	1.8	20.1	-1.6	1.8	24.7	milano
546453352138953	9030	1.1	1.5	20.5	-3.2	4.8	24.7	esteri
554655432349943	9031	-0.4	-0.4	22	2.1	1.4	24.7	esteri
555645531158953	9032	2.6	-0.8	22.4	0.6	-0.1	24.7	esteri
465654452358845	9033	2.2	1.1	24.3	-2	-0.9	24.7	sapienza
444434452159843	9034	-0.4	4.1	8.6	2.2	10.1	24.6	esteri
456634532339755	9035	3	4.1	10.2	1.8	5.5	24.6	torino
646654541259944	9036	-0.4	5.6	10.8	1.5	7.1	24.6	esteri
664543541259854	9037	-0.4	2.2	12.1	5.9	4.8	24.6	esteri
656534352339954	9038	3	4.1	13.6	2.1	1.8	24.6	esteri
646645343239743	9039	3	4.1	14.5	0	3	24.6	bologna
445653433138955	9040	0	0	15.5	5.4	3.7	24.6	esteri
655543543159855	9041	3	1.1	15.7	0.7	4.1	24.6	federico
465645342339944	9042	1.1	1.1	15.9	4.7	1.8	24.6	esteri
446433353248953	9043	4.1	-0.4	16.1	2.6	2.2	24.6	dent_sienna
645533331259855	9044	1.1	2.2	16.7	0.6	4	24.6	torino
665635532339845	9045	1.1	6	16.8	-0.8	1.5	24.6	parma
545633533238944	9046	2.6	0.7	17.8	-0.5	4	24.6	messina
455454532159743	9047	2.6	0.7	18.2	0.2	2.9	24.6	catania
566634553248954	9048	2.6	0.3	19.3	1	1.4	24.6	bologna
666555531348944	9049	4.1	1.1	19.7	-0.6	0.3	24.6	cagliari
454644342339944	9050	4.5	-1.2	20.2	-0.4	1.5	24.6	cagliari
556454453358954	9051	0	0	20.2	2.9	1.5	24.6	esteri
644453341148743	9052	1.1	1.1	20.5	1.3	0.6	24.6	esteri
466633341158754	9053	2.6	-0.4	20.9	0	1.5	24.6	catania
554655551359743	9054	0	0	23.5	-2.2	3.3	24.6	messina
544653343149944	9055	4.5	6	11.7	-1.7	4	24.5	torvergata
564533333359745	9056	4.1	4.1	12.3	-0.4	4.4	24.5	milano
544645431159845	9057	1.5	6	14.1	-1.6	4.5	24.5	bicocca
644555433158954	9058	1.1	-2	14.4	6.6	4.4	24.5	esteri
646644552248853	9059	1.1	4.1	14.9	2.2	2.2	24.5	esteri
555643543248954	9060	4.5	-0.1	16.8	0	3.3	24.5	bologna
655645443158853	9061	4.5	-0.8	17.4	0.9	2.5	24.5	esteri
465643441239943	9062	3	-0.8	18.6	-1	4.7	24.5	esteri
665535442159954	9063	1.5	4.1	19	-1.2	1.1	24.5	esteri
564433351338743	9064	0	0	19.4	4.4	0.7	24.5	esteri
664633333348743	9065	1.5	-0.8	20.1	0	3.7	24.5	bari
655454432338744	9066	0	0	21.2	-1.8	5.1	24.5	esteri
456535343138953	9067	0.3	2.2	21.6	1.3	-0.9	24.5	esteri
544434442259745	9068	-0.4	-1.2	22.4	2.6	1.1	24.5	esteri
555644452358945	9069	4.5	6	11.4	-0.1	2.6	24.4	sapienza
446433541159743	9070	1.1	4.1	11.5	3	4.7	24.4	sapienza
545544541249955	9071	0.3	1.8	11.7	2.1	8.5	24.4	bicocca
544645433249855	9072	4.1	2.2	11.7	3.5	2.9	24.4	bologna
456654533349755	9073	0	4.5	12.5	-0.4	7.8	24.4	milano
655544351249943	9074	2.2	1.1	15.2	0	5.9	24.4	torino
656445453249845	9075	1.1	4.5	16.3	-0.8	3.3	24.4	bologna
565655333239754	9076	1.1	2.6	16.3	0.7	3.7	24.4	sapienza
564644441258954	9077	-0.4	1.5	16.7	5.5	1.1	24.4	esteri
566433443139755	9078	1.5	1.5	16.7	-0.1	4.8	24.4	torino
446434451249944	9079	2.6	-1.6	17.4	2	4	24.4	torino
445644533138954	9080	1.1	0.3	17.5	4.4	1.1	24.4	milano
445445341148754	9081	3	2.2	17.9	-0.9	2.2	24.4	milano
445553441248944	9082	0.7	2.2	18.3	-1.6	4.8	24.4	esteri
664555541249844	9083	1.1	2.6	18.6	-0.8	2.9	24.4	padova
655534352258744	9084	2.6	2.6	19	-1.6	1.8	24.4	federico
664654352239853	9085	4.1	1.8	19.3	-0.6	-0.2	24.4	bologna
444633351338743	9086	0	2.2	19.7	0.3	2.2	24.4	esteri
665643351138955	9087	-0.8	0.3	20.1	1.8	3	24.4	esteri
666533451249745	9088	2.2	0.3	21.2	-0.6	1.3	24.4	padova
646453442339843	9089	1.1	0.3	22	-0.5	1.5	24.4	esteri
544434533158745	9090	1.1	4.5	9.8	2.9	6	24.3	esteri
644454353138755	9091	-0.4	4.1	14.4	2.2	4	24.3	esteri
546633352148754	9092	2.6	4.1	15.6	-0.9	2.9	24.3	cagliari
656455352339754	9093	0	-0.4	15.9	5.1	3.7	24.3	esteri
456544531138754	9094	-1.6	1.8	17.4	7.3	-0.6	24.3	esteri
554534532258845	9095	0.3	1.8	17.4	0.5	4.3	24.3	padova
454535542238943	9096	4.1	-0.1	17.8	2	0.5	24.3	esteri
646555543139844	9097	-0.4	0.3	18.6	4	1.8	24.3	esteri
555634452158854	9098	4.1	3.7	19.3	-1.8	-1	24.3	sapienza
546545531138845	9099	0	-1.2	22	2.1	1.4	24.3	esteri
565653351349953	9100	0.7	-0.1	26.9	-1.8	-1.4	24.3	milano
554453442158744	9101	0.7	0.7	8.4	5.1	9.3	24.2	esteri
464453533338854	9102	2.2	-0.1	10.3	5.9	5.9	24.2	sapienza
455645453259743	9103	2.6	6	10.4	1.1	4.1	24.2	cagliari
464635552158955	9104	0	-0.8	11.7	8.9	4.4	24.2	bari
455535331148745	9105	2.6	6	12.9	2.9	-0.2	24.2	esteri
666453331238753	9106	2.2	-0.1	12.9	2.1	7.1	24.2	esteri
654644451349754	9107	4.1	0.3	15.2	2.5	2.1	24.2	bologna
654443552339755	9108	0	4.1	17.5	-0.4	3	24.2	esteri
445535541249853	9109	0	0.7	17.6	0.7	5.2	24.2	bologna
565554531149853	9110	1.1	2.6	19	0	1.5	24.2	esteri
544435542259955	9111	-0.8	-1.6	19.7	7	-0.1	24.2	esteri
564434533348745	9112	0	0	23.6	0.7	-0.1	24.2	esteri
666643531359854	9113	2.6	6	11.1	-0.4	4.8	24.1	torino
445435451239754	9114	2.6	4.5	11.9	-1.2	6.3	24.1	Marche
546654433248945	9115	0.7	3.7	14.4	-0.2	5.5	24.1	esteri
446435352358954	9116	-0.8	0.3	16.3	8.1	0.2	24.1	esteri
646553533248943	9117	4.1	0.3	16.3	-3.2	6.6	24.1	torino
666444432348943	9118	3	0.3	16.8	1.8	2.2	24.1	catania
654635542139944	9119	2.6	1.1	17.8	-0.4	3	24.1	catania
444455351149754	9120	1.1	2.2	18.2	1.1	1.5	24.1	esteri
466643432159854	9121	1.5	1.5	18.6	0.3	2.2	24.1	federico
645553343358845	9122	2.6	-0.4	19	1.1	1.8	24.1	torvergata
465654353339955	9123	4.5	-0.4	19.7	0	0.3	24.1	cagliari
544445433249853	9124	0	0.3	20.1	3	0.7	24.1	esteri
655544442239755	9125	2.6	-0.8	20.9	0.7	0.7	24.1	esteri
544445333359953	9126	0.3	-0.1	21.2	-0.2	2.9	24.1	esteri
664545441259743	9127	1.5	0	22	-2.4	3	24.1	esteri
544434332348753	9128	0	-0.8	23.9	0.3	0.7	24.1	esteri
464534442249854	9129	4.1	6	11.7	-2.1	4.3	24	torvergata
664554333248945	9130	-0.8	2.2	13	5.9	3.7	24	esteri
545543443148954	9131	2.6	5.6	13.7	0.3	1.8	24	milano
545545451359943	9132	2.2	-0.1	15.5	4.7	1.7	24	bari
555633451339845	9133	-1.2	1.8	17.4	3.9	2.1	24	esteri
645634543248943	9134	-0.4	1.5	17.4	1.4	4.1	24	esteri
565533532149743	9135	2.6	1.5	17.8	-0.1	2.2	24	bologna
644644542149743	9136	0	-0.8	23.2	0.2	1.4	24	esteri
466633342238745	9137	3	2.2	6.5	5.5	6.7	23.9	sapienza
656634433249944	9138	2.6	1.8	10.3	5.5	3.7	23.9	esteri
446634541158854	9139	0	2.6	12.2	4.7	4.4	23.9	esteri
466644533158943	9140	2.2	3.7	13.6	-4.1	8.5	23.9	esteri
655543551339844	9141	0.7	1.8	13.6	5.4	2.4	23.9	esteri
566534342158854	9142	2.2	4.1	15.2	-0.1	2.5	23.9	sapienza
645634441358745	9143	1.1	0.3	16.7	2.1	3.7	23.9	esteri
546635441159943	9144	3	2.6	16.8	0	1.5	23.9	bologna
645534532339753	9145	2.6	0.3	17.1	2.5	1.4	23.9	cagliari
446634431359953	9146	0	0	18.2	2	3.7	23.9	esteri
